ORIG_FID,Comment,site_id,pt_type,pt_id,Latitude,Longitude,lat_num,long_num,Max_PDOP,Max_HDOP,Corr_Type,GPS_Date,Datafile,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev
12,tsa.115.mk3,mk_3,adj tran start,115,49.275558684,-122.567412835,49.275445737762610,-122.567166303748820,4.4000001,3.0999999,L1  Postprocessed Carrier Float,7/24/2023 0:00:00,mistletoe5.cor,203.704000000000008,0.600000000000000,0.400000000000000,0.519410000000000
13,tsa.120.mk3,mk_3,adj tran start,120,49.275643248,-122.567254994,49.275565887564809,-122.567086136629243,7.5999999,3.4000001,Postprocessed Code,7/24/2023 0:00:00,mistletoe5.cor,201.473999999999990,1.300000000000000,1.100000000000000,0.661949000000000
14,tsa.121.mk3,mk_3,adj tran start,121,49.275750538,-122.567169239,49.275673177566247,-122.567000381262972,7.0000000,4.5999999,Postprocessed Code,7/24/2023 0:00:00,mistletoe5.cor,209.890999999999991,0.800000000000000,0.400000000000000,0.844689000000000
15,tsa.136.mi1,mi_1,adj tran start,136,49.247356135,-122.375127746,49.247516404597313,-122.375292872650391,4.4000001,1.8000000,Postprocessed Code,8/4/2023 0:00:00,mistletoe6.cor,192.794999999999987,0.800000000000000,0.400000000000000,0.924831000000000
16,tsa.164.cr1,cr_1,adj tran start,164,50.180876660,-125.388768250,50.180687116253331,-125.388416472423415,5.1999998,2.8000000,Postprocessed Code,8/12/2023 0:00:00,mistletoe7.cor,99.001999999999995,1.000000000000000,0.600000000000000,1.146661000000000
17,tsa.165.cr1,cr_1,adj tran start,165,50.180807680,-125.388925243,50.180618136251063,-125.388573465929980,4.5000000,2.3000000,Postprocessed Code,8/12/2023 0:00:00,mistletoe7.cor,107.418000000000006,1.100000000000000,0.900000000000000,1.986381000000000
18,tsa.166.cr1,cr_1,adj tran start,166,50.180702949,-125.389118463,50.180513405247616,-125.388766686699071,6.9000001,4.1999998,Postprocessed Code,8/12/2023 0:00:00,mistletoe7.cor,104.519000000000005,0.900000000000000,0.800000000000000,0.557537000000000
19,tsa.222.cr2,cr_2,adj tran start,222,50.228762078,-125.416808283,50.228544281403529,-125.416868148976235,9.8999996,3.8000000,Postprocessed Code,8/26/2023 0:00:00,mistletoe8.cor,141.463999999999999,1.200000000000000,0.700000000000000,1.178866000000000
20,tsa.221.cr2,cr_2,adj tran start,221,50.228812622,-125.417006054,50.228594825405430,-125.417065920039519,6.5000000,2.8000000,L1  Postprocessed Carrier Float,8/26/2023 0:00:00,mistletoe8.cor,140.103000000000009,0.800000000000000,0.600000000000000,1.332301000000000
21,tsa.219.cr2,cr_2,adj tran start,219,50.228859734,-125.417238919,50.228641937407204,-125.417298785098509,8.0000000,2.7000000,L1L2  Postprocessed Carrier Float,8/26/2023 0:00:00,mistletoe8.cor,146.262000000000000,1.100000000000000,0.600000000000000,1.108688000000000
22,tsa.266.ph1,ph_1,adj tran start,266,49.079053299,-125.336051654,49.079076720391335,-125.335849451088109,8.0000000,5.0999999,Postprocessed Code,8/31/2023 0:00:00,mistletoe8.cor,263.076999999999998,1.600000000000000,1.200000000000000,0.776874000000000
23,tsa.259.ph1,ph_1,adj tran start,259,49.078860906,-125.336087481,49.078884327392117,-125.335885278869128,5.9000001,3.5000000,Postprocessed Code,8/31/2023 0:00:00,mistletoe8.cor,265.401000000000010,1.300000000000000,0.900000000000000,1.063079000000000
24,tsa.258.ph1,ph_1,adj tran start,258,49.078737394,-125.335981890,49.078760815392620,-125.335779688370522,12.0000000,6.0999999,Postprocessed Code,8/31/2023 0:00:00,mistletoe8.cor,261.855999999999995,1.700000000000000,1.000000000000000,0.641216000000000
,ed.1.mi1,mi_1,edge,1,49.247403243,-122.375329298,49.247403243000001,-122.375329297999997,27.7999992,16.2999992,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,195.659999999999997,0.900000000000000,0.700000000000000,2.110134000000000
,ts.2.mi1,mi_1,tran start,140,49.247596543,-122.375177671,49.247596543000000,-122.375177671000003,13.6000004,6.3000002,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,196.072000000000003,0.700000000000000,0.400000000000000,1.462814000000000
,ts.3.mi1,mi_1,tran start,141,49.247676962,-122.375014351,49.247676962000000,-122.375014351000004,6.6999998,3.5999999,L1  Postprocessed Carrier Float,6/28/2023 0:00:00,mistletoe.cor,193.509999999999991,1.100000000000000,0.600000000000000,1.219199000000000
,ed.2.mi1,mi_1,edge,2,49.247731867,-122.374870862,49.247731866999999,-122.374870861999995,11.1000004,5.1999998,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,196.008000000000010,0.100000000000000,0.100000000000000,1.816816000000000
,sm.1.mi1,mi_1,stem map,21,49.247458645,-122.375410823,49.247458645000002,-122.375410822999996,4.5999999,3.3000000,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,201.188999999999993,0.000000000000000,0.000000000000000,0.000000000000000
,sm.2.mi1,mi_1,stem map,22,49.247573644,-122.375329306,49.247573643999999,-122.375329305999998,4.1999998,1.7000000,L1  Postprocessed Carrier Float,6/28/2023 0:00:00,mistletoe.cor,199.412000000000006,0.100000000000000,0.000000000000000,0.005349000000000
,sm.3.mi1,mi_1,stem map,23,49.247651324,-122.375142355,49.247651324000003,-122.375142354999994,9.5000000,4.5000000,L1L2  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe.cor,194.290999999999997,0.400000000000000,0.400000000000000,0.746783000000000
,sm.4.mi1,mi_1,stem map,24,49.247741450,-122.375003978,49.247741449999999,-122.375003977999995,6.3000002,2.8000000,Postprocessed Code,6/29/2023 0:00:00,mistletoe.cor,189.597000000000008,1.100000000000000,0.700000000000000,0.940151000000000
,ip.3.mi1,mi_1,infect perim,3,49.247582623,-122.375103638,49.247582623000000,-122.375103637999999,5.4000001,3.3000000,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,194.092999999999989,1.000000000000000,0.700000000000000,1.226014000000000
,ip.2.mi1,mi_1,infect perim,2,49.247603764,-122.374949951,49.247603763999997,-122.374949951000005,6.9000001,4.1999998,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,191.983000000000004,0.200000000000000,0.200000000000000,0.531237000000000
,ip.4.mi1,mi_1,infect perim,4,49.247568044,-122.375095011,49.247568043999998,-122.375095010999999,3.5999999,1.7000000,L1  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe2.cor,197.258999999999986,0.500000000000000,0.300000000000000,1.068613000000000
,ip.5.mi1,mi_1,infect perim,5,49.247508459,-122.375108393,49.247508459000002,-122.375108393000005,4.3000002,2.7000000,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,195.645999999999987,1.000000000000000,0.600000000000000,1.331345000000000
,ip.7.mi1,mi_1,infect perim,7,49.247347797,-122.375211920,49.247347797000003,-122.375211919999998,5.3000002,2.8000000,L1L2  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe2.cor,203.903999999999996,0.500000000000000,0.400000000000000,2.419503000000000
,ip.1.mi1,mi_1,infect perim,1,49.247592448,-122.374741244,49.247592447999999,-122.374741244000006,3.2000000,2.3000000,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,189.508000000000010,0.700000000000000,0.300000000000000,1.466002000000000
,ip.6.mi1,mi_1,infect perim,6,49.247358301,-122.375074201,49.247358300999998,-122.375074201000004,5.0000000,2.9000001,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,193.937999999999988,0.700000000000000,0.600000000000000,1.290463000000000
,te.2.mi1,mi_1,tran end,140,49.247451153,-122.374973452,49.247451153000000,-122.374973452000006,6.8000002,2.5999999,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,193.186000000000007,0.300000000000000,0.100000000000000,1.714266000000000
,re.1.mi1,mi_1,residual,1,49.247572973,-122.375159120,49.247572972999997,-122.375159120000006,11.8999996,5.5000000,L1  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,195.296999999999997,0.000000000000000,0.000000000000000,0.000000000000000
,te.3.mi1,mi_1,tran end,141,49.247515097,-122.374819014,49.247515096999997,-122.374819013999996,11.3000002,9.1000004,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,194.236999999999995,0.700000000000000,0.800000000000000,2.322006000000000
,re.2.mi1,mi_1,residual,2,49.247623624,-122.374911100,49.247623623999999,-122.374911100000006,6.0000000,3.4000001,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,192.753999999999991,0.300000000000000,0.200000000000000,0.030191000000000
,re.3.mi1,mi_1,residual,3,49.247634424,-122.374989254,49.247634423999997,-122.374989253999999,6.1999998,2.5999999,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,193.259999999999991,0.700000000000000,0.600000000000000,1.354394000000000
,ed.1.mi2,mi_2,edge,1,49.233365806,-122.323136710,49.233365806000002,-122.323136710000000,9.8999996,3.5000000,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,212.891999999999996,1.000000000000000,0.500000000000000,2.130901000000000
,ts.1.mi2,mi_2,tran start,122,49.233508468,-122.323244345,49.233508467999997,-122.323244345000006,6.4000001,3.3000000,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,201.520000000000010,1.000000000000000,0.700000000000000,2.061388000000000
,ts.2.mi2,mi_2,tran start,124,49.233630498,-122.323359340,49.233630497999997,-122.323359339999996,6.3000002,2.4000001,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,198.974999999999994,1.100000000000000,0.500000000000000,0.519435000000000
,ts.3.mi2,mi_2,tran start,129,49.233754179,-122.323450541,49.233754179000002,-122.323450541000000,5.5999999,1.5000000,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,201.912000000000006,1.000000000000000,0.500000000000000,1.244079000000000
,ed.2.mi2,mi_2,edge,2,49.233839514,-122.323519001,49.233839514000003,-122.323519000999994,6.0000000,4.5000000,L1  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,206.381000000000000,0.500000000000000,0.400000000000000,1.284625000000000
,sm.1.mi2,mi_2,stem map,14,49.233388492,-122.323284477,49.233388492000003,-122.323284477000001,5.9000001,2.7000000,Postprocessed Code,7/4/2023 0:00:00,mistletoe3.cor,211.313999999999993,0.400000000000000,0.300000000000000,1.866687000000000
,sm.2.mi2,mi_2,stem map,15,49.233459477,-122.323244214,49.233459476999997,-122.323244213999999,16.7999992,10.0000000,L1  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,201.087999999999994,0.900000000000000,0.600000000000000,1.247015000000000
,sm.3.mi2,mi_2,stem map,16,49.233514312,-122.323342715,49.233514311999997,-122.323342714999995,6.9000001,3.8000000,L1L2  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,204.236999999999995,0.300000000000000,0.300000000000000,1.228354000000000
,sm.4.mi2,mi_2,stem map,17,49.233582209,-122.323395964,49.233582208999998,-122.323395963999999,16.6000004,8.1000004,L1  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,197.432999999999993,0.900000000000000,0.700000000000000,1.870514000000000
,sm.5.mi2,mi_2,stem map,18,49.233584559,-122.323429158,49.233584559000001,-122.323429157999996,4.4000001,2.7000000,Postprocessed Code,7/4/2023 0:00:00,mistletoe3.cor,209.574999999999989,0.700000000000000,0.500000000000000,1.161710000000000
,sm.6.mi2,mi_2,stem map,19,49.233708565,-122.323474289,49.233708565000001,-122.323474289000004,4.1999998,2.4000001,L1  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,202.205999999999989,1.300000000000000,0.600000000000000,0.682987000000000
,sm.7.mi2,mi_2,stem map,20,49.233810415,-122.323501522,49.233810415000001,-122.323501522000001,4.8000002,1.7000000,Postprocessed Code,7/4/2023 0:00:00,mistletoe3.cor,209.003999999999991,0.500000000000000,0.500000000000000,0.971758000000000
,ip.1.mi2,mi_2,infect perim,1,49.233443215,-122.323007310,49.233443215000001,-122.323007309999994,6.0999999,4.6999998,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,210.820999999999998,0.700000000000000,0.400000000000000,1.656084000000000
,ip.2.mi2,mi_2,infect perim,2,49.233483521,-122.323120741,49.233483520999997,-122.323120740999997,16.3999996,9.6999998,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,212.603000000000009,0.700000000000000,0.500000000000000,2.012870000000000
,ip.3.mi2,mi_2,infect perim,3,49.233608194,-122.323120297,49.233608193999999,-122.323120297000003,4.3000002,2.5999999,L1L2  Postprocessed Carrier Float,7/5/2023 0:00:00,mistletoe3.cor,204.824000000000012,0.800000000000000,0.400000000000000,1.310785000000000
,ip.4.mi2,mi_2,infect perim,4,49.233630745,-122.323211707,49.233630744999999,-122.323211706999999,4.9000001,3.0000000,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,202.885999999999996,0.700000000000000,0.400000000000000,0.838995000000000
,ip.6.mi2,mi_2,infect perim,6,49.233800323,-122.323244899,49.233800322999997,-122.323244899000002,4.8000002,3.0999999,L1L2  Postprocessed Carrier Float,7/5/2023 0:00:00,mistletoe3.cor,207.084000000000003,0.700000000000000,0.400000000000000,0.554108000000000
,ip.7.mi2,mi_2,infect perim,7,49.233821240,-122.323311257,49.233821239999997,-122.323311257000000,3.9000001,2.3000000,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,203.151000000000010,0.600000000000000,0.400000000000000,1.523957000000000
,ip.8.mi2,mi_2,infect perim,8,49.233884587,-122.323282129,49.233884586999999,-122.323282129000006,4.1999998,3.5000000,L1  Postprocessed Carrier Float,7/5/2023 0:00:00,mistletoe3.cor,207.425000000000011,0.600000000000000,0.300000000000000,1.140826000000000
,te.1.mi2,mi_2,tran end,122,49.233558642,-122.323057421,49.233558641999998,-122.323057421000001,4.4000001,2.5999999,Postprocessed Code,7/6/2023 0:00:00,mistletoe3.cor,205.325999999999993,0.900000000000000,0.400000000000000,0.654495000000000
,ip.5.mi2,mi_2,infect perim,5,49.233683089,-122.323170653,49.233683089000003,-122.323170653000005,4.9000001,2.9000001,L1L2  Postprocessed Carrier Float,7/6/2023 0:00:00,mistletoe3.cor,207.907000000000011,0.600000000000000,0.300000000000000,0.933282000000000
,te.2.mi2,mi_2,tran end,124,49.233667164,-122.323161053,49.233667164000003,-122.323161053000007,3.0999999,1.6000000,Postprocessed Code,7/6/2023 0:00:00,mistletoe3.cor,205.026000000000010,0.400000000000000,0.100000000000000,0.908012000000000
,te.3.mi2,mi_2,tran end,129,49.233789756,-122.323226915,49.233789756000000,-122.323226915000006,4.0000000,2.8000000,L1  Postprocessed Carrier Float,7/6/2023 0:00:00,mistletoe3.cor,204.216000000000008,0.400000000000000,0.300000000000000,0.542793000000000
,ed.1.mk1,mk_1,edge,1,49.289140675,-122.586453504,49.289140674999999,-122.586453504000005,7.3000002,4.0999999,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,258.067000000000007,0.100000000000000,0.100000000000000,0.855453000000000
,ts.100.mk1,mk_1,tran start,100,49.289218996,-122.586356530,49.289218996000002,-122.586356530000003,3.8000000,2.0999999,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,252.757000000000005,1.000000000000000,0.500000000000000,0.561144000000000
,ts.101.mk1,mk_1,tran start,101,49.289261468,-122.586207194,49.289261467999999,-122.586207193999996,5.6999998,2.4000001,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,247.180000000000007,1.400000000000000,0.800000000000000,1.002424000000000
,ts.102.mk1,mk_1,tran start,102,49.289201368,-122.586022843,49.289201368000001,-122.586022842999995,6.4000001,2.8000000,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,255.433999999999997,1.500000000000000,0.900000000000000,1.147207000000000
,ed.2.mk1,mk_1,edge,2,49.289183563,-122.585845863,49.289183563000002,-122.585845863000003,6.9000001,3.4000001,L1L2  Postprocessed Carrier Float,7/7/2023 0:00:00,mistletoe3.cor,246.064999999999998,0.500000000000000,0.400000000000000,1.111432000000000
,sm.001.mk1,mk_1,stem map,001,49.289239728,-122.586478525,49.289239727999998,-122.586478525000004,6.8000002,3.2000000,L1  Postprocessed Carrier Float,7/11/2023 0:00:00,mistletoe4.cor,256.560999999999979,1.000000000000000,0.600000000000000,1.488958000000000
,sm.002.mk1,mk_1,stem map,002,49.289257412,-122.586291430,49.289257411999998,-122.586291430000003,6.4000001,3.5000000,Postprocessed Code,7/11/2023 0:00:00,mistletoe4.cor,258.024999999999977,0.600000000000000,0.500000000000000,1.395227000000000
,sm.003.mk1,mk_1,stem map,003,49.289258323,-122.586149784,49.289258322999999,-122.586149784000000,5.0000000,2.7000000,L1  Postprocessed Carrier Float,7/11/2023 0:00:00,mistletoe4.cor,262.201000000000022,1.600000000000000,0.900000000000000,2.177956000000000
,sm.004.mk1,mk_1,stem map,004,49.289237009,-122.585889931,49.289237008999997,-122.585889930999997,14.6999998,6.9000001,Postprocessed Code,7/11/2023 0:00:00,mistletoe4.cor,252.613000000000000,1.500000000000000,1.100000000000000,1.296439000000000
,ip.2.mk1,mk_1,infect perim,2,49.289028869,-122.586325505,49.289028868999999,-122.586325505000005,4.5000000,2.2000000,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,253.181000000000012,1.600000000000000,1.000000000000000,0.304472000000000
,ip.3.mk1,mk_1,infect perim,3,49.289111502,-122.586245655,49.289111501999997,-122.586245654999999,6.8000002,3.3000000,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,249.656000000000006,0.900000000000000,0.700000000000000,0.788919000000000
,re.1.ip.4.mk1,mk_1,infect perim,1,49.289033512,-122.586099398,49.289033512000003,-122.586099398000002,5.0000000,2.8000000,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,256.375999999999976,1.700000000000000,1.000000000000000,1.602954000000000
,ip.5.mk1,mk_1,infect perim,5,49.289112954,-122.586072463,49.289112953999997,-122.586072462999994,6.1999998,4.4000001,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,254.727000000000004,0.500000000000000,0.600000000000000,1.791165000000000
,ip.1.mk1,mk_1,infect perim,1,49.289144705,-122.586383671,49.289144704999998,-122.586383670999993,4.3000002,2.5999999,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,263.738000000000000,1.000000000000000,0.700000000000000,0.925592000000000
,te.100.mk1,mk_1,tran end,100,49.289042650,-122.586326908,49.289042649999999,-122.586326908000004,13.0000000,5.4000001,L1  Postprocessed Carrier Float,7/18/2023 0:00:00,mistletoe5.cor,256.786999999999978,0.000000000000000,0.000000000000000,0.005338000000000
,te.101.mk1,mk_1,tran end,101,49.289104606,-122.586206224,49.289104606000002,-122.586206223999994,10.6999998,4.6999998,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,249.253999999999991,1.000000000000000,0.800000000000000,1.397100000000000
,te.102.mk1,mk_1,tran end,102,49.289029735,-122.585966157,49.289029735000000,-122.585966157000001,7.0000000,3.2000000,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,247.824000000000012,1.600000000000000,1.100000000000000,0.759221000000000
,rf.1.mk1,mk_1,ref tree,1,49.289418988,-122.585765449,49.289418988000001,-122.585765448999993,6.9000001,3.0000000,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,252.848000000000013,1.100000000000000,0.600000000000000,1.492497000000000
,rf.2.mk1,mk_1,ref tree,2,49.289419129,-122.585597283,49.289419129000002,-122.585597282999998,141.3000031,99.9000015,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,253.881000000000000,0.100000000000000,0.200000000000000,3.960165000000000
,ed.2.mk2,mk_2,edge,2,49.312924151,-122.596286082,49.312924150999997,-122.596286082000006,4.4000001,2.5999999,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,399.591000000000008,0.900000000000000,0.700000000000000,0.677491000000000
,ip.1.mk2,mk_2,infect perim,1,49.313095084,-122.596384525,49.313095083999997,-122.596384525000005,7.0000000,3.5999999,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,389.634000000000015,0.500000000000000,0.400000000000000,1.341589000000000
,ip.2.mk2,mk_2,infect perim,2,49.313064125,-122.596265930,49.313064124999997,-122.596265930000001,5.4000001,3.2000000,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,391.362000000000023,0.000000000000000,0.000000000000000,0.004915000000000
,lf.1.mk2,mk_2,landscape feat,1,49.313061475,-122.596273019,49.313061474999998,-122.596273018999995,4.4000001,2.5999999,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,390.107000000000028,0.100000000000000,0.000000000000000,0.016463000000000
,lf.1.mk2,mk_2,landscape feat,1,49.313015947,-122.596202624,49.313015946999997,-122.596202624000000,4.0000000,2.4000001,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,395.747000000000014,0.800000000000000,0.600000000000000,0.712236000000000
,lf.1.mk2,mk_2,landscape feat,1,49.312999040,-122.596128858,49.312999040000001,-122.596128858000000,3.9000001,2.3000000,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,396.836999999999989,1.000000000000000,0.800000000000000,0.971240000000000
,lf.1.mk2,mk_2,landscape feat,1,49.313033492,-122.596087391,49.313033492000002,-122.596087390999998,4.1999998,2.5999999,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,388.803999999999974,1.000000000000000,0.700000000000000,0.923963000000000
,lf.1.mk2,mk_2,landscape feat,1,49.313142835,-122.596216243,49.313142835000001,-122.596216243000001,4.6999998,2.2000000,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,394.173999999999978,1.100000000000000,0.900000000000000,1.702614000000000
,ip.3.mk2,mk_2,infect perim,3,49.313219531,-122.596139884,49.313219531000001,-122.596139883999996,4.5999999,2.3000000,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,384.285000000000025,1.000000000000000,0.600000000000000,1.679182000000000
,re.1.mk2,mk_2,residual,1,49.313082497,-122.595991744,49.313082497000003,-122.595991744000003,6.6999998,5.0999999,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,395.620999999999981,1.200000000000000,0.800000000000000,1.474678000000000
,ip.4.mk2,mk_2,infect perim,4,49.313164642,-122.595981558,49.313164641999997,-122.595981558000005,4.0999999,2.4000001,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,385.644999999999982,1.400000000000000,0.700000000000000,3.276433000000000
,ip.5.mk2,mk_2,infect perim,5,49.313165083,-122.595664628,49.313165083000001,-122.595664627999994,5.4000001,2.8000000,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,380.312000000000012,0.800000000000000,0.600000000000000,1.223900000000000
,ip.6.mk2,mk_2,infect perim,6,49.313127340,-122.595579088,49.313127340000001,-122.595579087999994,6.0999999,2.7000000,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,381.449000000000012,0.300000000000000,0.200000000000000,2.261027000000000
,ip.7.mk2,mk_2,infect perim,7,49.313177855,-122.595395103,49.313177854999999,-122.595395103000001,6.0000000,2.4000001,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,378.218999999999994,1.200000000000000,0.600000000000000,0.650158000000000
,te.103.mk2,mk_2,tran end,103,49.313232690,-122.595723380,49.313232690000000,-122.595723379999995,5.9000001,3.0000000,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,375.771999999999991,0.900000000000000,0.500000000000000,1.168370000000000
,te.109.mk2,mk_2,tran end,109,49.313238647,-122.595878687,49.313238646999999,-122.595878686999995,5.5999999,2.9000001,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,385.220000000000027,0.700000000000000,0.400000000000000,1.092613000000000
,te.110.mk2,mk_2,tran end,110,49.313219496,-122.596118368,49.313219496000002,-122.596118368000006,5.4000001,3.2000000,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,382.613000000000000,1.000000000000000,0.500000000000000,1.350481000000000
,ts.110.mk2,mk_2,tran start,110,49.312955607,-122.596091598,49.312955606999999,-122.596091598000001,5.0999999,2.7000000,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,395.471999999999980,0.800000000000000,0.400000000000000,0.518472000000000
