tree_id,flag_id,site_id,plot_id,dist_x_tr,dist_y_tr,dist_sm,az_sm,tree_type,spp,status,crown_class,crown_cond,dbh,height,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,stem_pa,path_ind_1,path_ind_2,dam_agent_1,dam_agent_2,notes
r175,NA,cr_1,164,-0.6,28,NA,NA,regen,Dr,LS,I,1,10.5,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r176,NA,cr_1,164,1.1,30.6,NA,NA,regen,Dr,SN,-,missing,15.3,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r177,NA,cr_1,164,1.5,31.7,NA,NA,regen,Fd,DS,-,missing,9,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r178,NA,cr_1,164,1.1,33.9,NA,NA,regen,Fd,LS,C,1,30.7,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r179,w61,ph_1,258,-0.4,15.1,NA,NA,regen,Hw,LS,C,1,21.8,20.6,N,-,NA,NA,NA,-,-,-,7,n,O,O,NA
r180,w29,ph_1,258,-0.5,15.7,NA,NA,regen,Hw,LS,I,1,11.8,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r181,w122,ph_1,258,-1,15.4,NA,NA,regen,Hw,LS,I,1,10.9,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r182,w16,ph_1,258,-1.6,16.1,NA,NA,regen,Hw,LS,I,1,9.3,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r183,w15,ph_1,258,-1.7,15.9,NA,NA,regen,Hw,LS,I,1,7.6,NA,N,-,NA,NA,NA,-,-,-,2,n,O,O,NA
r184,NA,ph_1,258,-1.9,16.3,NA,NA,regen,Hw,LS,S,1,5.5,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r185,w49,ph_1,258,-2,16,NA,NA,regen,Hw,LS,I,1,8.8,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r186,w21,ph_1,258,-1.2,17.5,NA,NA,regen,Hw,LS,S,1,7.6,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r187,w9,ph_1,258,-1.2,17.5,NA,NA,regen,Hw,LS,I,1,10,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r188,NA,ph_1,258,-1.2,17.5,NA,NA,regen,Hw,LS,S,2,4.3,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r189,w23,ph_1,258,-2.1,17.8,NA,NA,regen,Hw,LS,S,1,7.4,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r190,w115,ph_1,258,-1.7,18.4,NA,NA,regen,Hw,LS,C,1,13.9,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r191,w32,ph_1,258,-2.2,18.1,NA,NA,regen,Hw,LS,S,1,10.2,NA,N,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r192,w13,ph_1,258,-2.4,18.1,NA,NA,regen,Hw,LS,I,1,13.6,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r193,w119,ph_1,258,-2.4,18.1,NA,NA,regen,Hw,LS,I,1,13.6,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r194,w52,ph_1,258,-1.3,17.6,NA,NA,regen,Hw,LS,I,1,12.2,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r195,w5,ph_1,258,-1.3,17.8,NA,NA,regen,Hw,LS,S,1,7,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r196,w121,ph_1,258,0.8,17.6,NA,NA,regen,Hw,LS,I,1,12.5,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r197,w34,ph_1,258,1,17.3,NA,NA,regen,Hw,LS,I,1,11.8,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r198,w109,ph_1,258,1,17.3,NA,NA,regen,Hw,LS,I,1,10.9,NA,N,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r199,NA,ph_1,258,1.1,17.5,NA,NA,regen,Hw,LS,S,1,8.4,NA,N,-,NA,NA,NA,-,-,-,7,n,O,O,NA
r200,w101,ph_1,258,1.5,17.1,NA,NA,regen,Hw,LS,C,1,19.9,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r201,w66,ph_1,258,1.2,15.1,NA,NA,regen,Hw,LS,I,1,10.6,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r202,w26,ph_1,258,1.3,15.2,NA,NA,regen,Hw,LS,I,1,15,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r203,w4,ph_1,258,1.4,15,NA,NA,regen,Hw,LS,S,1,9.1,NA,Y,Y,0,0,0,N,-,N,n,n,O,O,NA
r204,NA,ph_1,258,0.3,13.9,NA,NA,regen,Hw,LS,S,1,5.2,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r205,NA,ph_1,258,0.3,13.9,NA,NA,regen,Hw,LS,S,1,4.8,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r206,y103,ph_1,259,-1.2,0.1,NA,NA,regen,Hw,LL,I,1,18,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r207,y14,ph_1,259,-0.1,1.5,NA,NA,regen,Hw,LS,S,1,11.7,NA,N,-,NA,NA,NA,-,-,-,7,n,O,O,NA
r208,y24,ph_1,259,-0.8,2,NA,NA,regen,Hw,LS,I,1,16,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r209,NA,ph_1,259,-0.9,1.8,NA,NA,regen,Hw,DS,-,2,4.2,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r210,NA,ph_1,259,0.8,3.5,NA,NA,regen,Cw,DS,-,3,5,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r211,w22,ph_1,258,2,2.4,NA,NA,regen,Hw,LS,I,1,14.5,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r212,NA,ph_1,258,2,2.4,NA,NA,regen,Hw,LS,S,1,6.4,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r213,w53,ph_1,258,-1.1,4.6,NA,NA,regen,Hw,LS,I,1,13.8,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r214,NA,ph_1,258,-1.4,4.2,NA,NA,regen,Hw,DS,-,2,5.5,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r215,w102,ph_1,258,-0.7,5.4,NA,NA,regen,Hw,LS,I,1,14.4,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r216,NA,ph_1,258,-1,5.4,NA,NA,regen,Hw,LS,S,1,4.8,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r217,NA,ph_1,258,-1.7,5.5,NA,NA,regen,Hw,DS,-,2,4.5,NA,N,-,NA,NA,NA,-,-,-,-,-,DR,O,NA; Armillaria confirmed
r218,NA,ph_1,258,-2.1,5.1,NA,NA,regen,Hw,DS,-,3,4.1,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r219,w111,ph_1,258,-0.8,5.8,NA,NA,regen,Hw,LS,S,2,6.2,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r220,NA,ph_1,258,-1.9,5.7,NA,NA,regen,Hw,DS,-,3,4.4,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r221,w70,ph_1,258,-1.9,5.7,NA,NA,regen,Hw,LS,S,1,6.7,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r222,w104,ph_1,258,-2.3,5.8,NA,NA,regen,Hw,LS,C,1,20.8,17.9,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r223,w100,ph_1,258,-2.3,5.8,NA,NA,regen,Hw,LS,I,1,9.5,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r224,NA,ph_1,258,-1,7,NA,NA,regen,Hw,SN,-,5,16.5,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r225,NA,ph_1,258,-2,9.3,NA,NA,regen,Hw,LS,S,1,6.3,NA,N,-,NA,NA,NA,-,-,-,7,n,O,O,NA
r226,w56,ph_1,258,-2,9.5,NA,NA,regen,Hw,LS,C,1,20.6,18.6,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r227,NA,ph_1,258,-2.5,9.4,NA,NA,regen,Hw,DS,-,2,6.4,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r228,NA,ph_1,258,-2,10.1,NA,NA,regen,Hw,DS,-,2,4.3,NA,N,-,NA,NA,NA,-,-,-,-,-,DR,DS,NA; Armillaria confirmed
r229,w103,ph_1,258,0.9,9.2,NA,NA,regen,Hw,LS,D,1,35.6,22.5,N,-,NA,NA,NA,-,-,-,n,n,IB,O,NA
r230,NA,ph_1,258,0.9,9.2,NA,NA,regen,Hw,LS,S,1,7.1,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r231,w108,ph_1,258,-1.9,11.5,NA,NA,regen,Hw,LS,I,1,9.5,NA,N,-,NA,NA,NA,-,-,-,1,2,O,O,NA
r232,w11,ph_1,258,-1.9,11.5,NA,NA,regen,Hw,LS,C,1,20.9,NA,N,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r233,NA,ph_1,258,-0.6,13.3,NA,NA,regen,Hw,LS,S,2,5.4,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r234,w35,ph_1,258,0,13.6,NA,NA,regen,Hw,LS,C,1,19.6,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r235,w46,ph_1,258,-2.2,13.1,NA,NA,regen,Hw,LS,I,1,14.5,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r236,w71,ph_1,258,-2.5,13.2,NA,NA,regen,Hw,LS,I,1,12.5,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r237,w120,ph_1,258,-2.5,13.2,NA,NA,regen,Hw,LS,S,1,7.3,NA,N,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r238,w76,ph_1,258,-0.8,13.8,NA,NA,regen,Hw,LS,I,1,15.3,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r239,NA,ph_1,258,-1.2,14.1,NA,NA,regen,Hw,DS,-,3,6.4,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r240,w24,ph_1,258,-1,14.6,NA,NA,regen,Hw,LS,S,1,8.4,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r241,w112,ph_1,258,-1.2,14.5,NA,NA,regen,Hw,LS,I,1,10.3,NA,N,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r242,w107,ph_1,258,-1.2,14.5,NA,NA,regen,Hw,DS,-,2,8,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r243,y69,ph_1,259,2.3,2.2,NA,NA,regen,Hw,LS,I,1,13.3,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r244,y117,ph_1,259,2.3,2.2,NA,NA,regen,Hw,LS,I,1,10.2,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r245,NA,ph_1,259,0.4,4.9,NA,NA,regen,Cw,LS,S,1,10,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r246,NA,ph_1,259,-0.9,3.9,NA,NA,regen,Cw,LS,I,1,21.3,NA,-,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r247,NA,ph_1,259,1.9,5.1,NA,NA,regen,Hw,LS,S,2,4.2,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r248,y125,ph_1,259,1.7,5.5,NA,NA,regen,Hw,LS,I,1,13,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r249,y115,ph_1,259,1.2,5.8,NA,NA,regen,Hw,LS,I,1,12.7,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r250,y17,ph_1,259,0.9,5.7,NA,NA,regen,Hw,LS,I,1,12.4,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r251,NA,ph_1,259,2.2,5.6,NA,NA,regen,Hw,DS,-,2,4,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r252,NA,ph_1,259,2.3,5.7,NA,NA,regen,Hw,DS,-,2,4.1,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r253,NA,ph_1,259,1.6,6.2,NA,NA,regen,Hw,LS,S,1,6.6,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r254,NA,ph_1,259,1.7,6.3,NA,NA,regen,Hw,LS,S,1,7.9,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r255,NA,ph_1,259,2.5,6.5,NA,NA,regen,Cw,LS,I,1,17.4,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r256,NA,ph_1,259,-1.2,6.7,NA,NA,regen,Cw,LS,I,1,12,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r257,NA,ph_1,259,1.1,11.2,NA,NA,regen,Cw,LS,I,1,9.5,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r258,NA,ph_1,259,-1.3,12.7,NA,NA,regen,Cw,LS,I,1,17.8,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r259,NA,ph_1,259,-0.2,13.3,NA,NA,regen,Cw,LS,C,1,25.8,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r260,y33,ph_1,259,1.6,13.6,NA,NA,regen,Hw,LS,S,1,9,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r261,y56,ph_1,259,2.3,13.3,NA,NA,regen,Hw,LS,C,1,26.3,18.1,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r262,y64,ph_1,259,1.5,14.8,NA,NA,regen,Hw,LS,C,1,22.2,17.2,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r263,NA,ph_1,259,-0.6,15.7,NA,NA,regen,Cw,LS,I,1,16.5,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r264,y1,ph_1,259,-0.7,15.7,NA,NA,regen,Hw,LS,I,1,11.2,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r265,y41,ph_1,259,-1.5,15.2,NA,NA,regen,Hw,LS,S,1,9.8,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r266,NA,ph_1,259,1.5,16.9,NA,NA,regen,Cw,LS,S,1,5.3,NA,-,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r267,NA,ph_1,266,-0.9,1.3,NA,NA,regen,Cw,LS,S,1,8.3,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r268,NA,ph_1,266,2.5,0.8,NA,NA,regen,Hw,LS,S,1,4.9,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r269,NA,ph_1,266,0.3,4.1,NA,NA,regen,Cw,LS,S,1,4.9,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r270,NA,ph_1,266,0.7,4.6,NA,NA,regen,Cw,LS,I,1,11.1,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r271,w60,ph_1,266,-0.7,5.6,NA,NA,regen,Hw,LS,I,1,17.5,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r272,w64,ph_1,266,-1.1,5.3,NA,NA,regen,Hw,LS,I,1,10.9,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r273,w117,ph_1,266,0.2,6.7,NA,NA,regen,Hw,LS,C,1,24.1,18.3,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r274,w37,ph_1,266,-0.1,9,NA,NA,regen,Hw,LS,I,1,15.2,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r275,NA,ph_1,266,-0.6,9.6,NA,NA,regen,Cw,LS,I,1,13.4,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r276,w18,ph_1,266,1.1,9.9,NA,NA,regen,Hw,LS,I,1,11.1,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r277,w8,ph_1,266,2.1,11,NA,NA,regen,Hw,LS,C,1,20.7,18.2,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r278,w59,ph_1,266,2.1,11.3,NA,NA,regen,Hw,LS,I,1,17.9,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r279,w55,ph_1,266,1.1,13.3,NA,NA,regen,Hw,LS,C,1,29.9,21.5,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r280,w43,ph_1,266,-0.5,13.3,NA,NA,regen,Hw,LS,I,1,10.5,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r281,w31,ph_1,266,-0.1,13.5,NA,NA,regen,Hw,LS,S,1,7.6,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r282,w74,ph_1,266,1.2,14.5,NA,NA,regen,Hw,LS,I,1,12.6,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r283,w72,ph_1,266,0.3,15,NA,NA,regen,Hw,LS,C,1,23.9,18.7,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r284,NA,ph_1,266,0.3,15,NA,NA,regen,Hw,DS,-,2,8.9,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r285,NA,ph_1,266,-0.4,15,NA,NA,regen,Hw,DS,-,2,8.3,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r286,w30,ph_1,266,-1.9,14.6,NA,NA,regen,Hw,LS,I,1,17.2,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r287,NA,ph_1,266,-1.6,15.5,NA,NA,regen,Cw,DS,-,2,7.4,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r288,w75,ph_1,266,-0.2,16,NA,NA,regen,Hw,LS,I,1,10.9,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r289,NA,ph_1,266,-1.5,17.6,NA,NA,regen,Cw,LS,I,1,15.2,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r290,NA,cr_2,219,-1.7,0.7,NA,NA,regen,Hw,LS,S,1,4.7,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r291,NA,cr_2,219,-0.9,1.4,NA,NA,regen,Hw,LS,S,1,5,NA,Y,Y,0,0,0,N,-,N,n,n,DS,O,NA
r292,NA,cr_2,219,2,1.6,NA,NA,regen,Hw,SN,-,2,7.2,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r293,y46,cr_2,219,-2.5,3.9,NA,NA,regen,Hw,LS,I,1,17.1,NA,Y,Y,1,0,1,N,-,N,n,n,IB,AX,NA
r294,NA,cr_2,219,-2.5,4,NA,NA,regen,Hw,LS,S,1,4,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r295,y30,cr_2,219,-1,7.2,NA,NA,regen,Hw,LS,C,1,28.7,25,Y,Y,0,1,0,N,-,N,n,n,O,O,NA
r296,y32,cr_2,219,-2.4,10.2,NA,NA,regen,Hw,LS,C,1,26.6,21.9,N,-,NA,NA,NA,-,-,-,7,n,IB,O,NA
r297,NA,cr_2,219,-0.9,10.8,NA,NA,regen,Dr,SN,-,4,6.8,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r298,NA,cr_2,219,0.9,12.9,NA,NA,regen,Hw,LL,S,2,4.4,NA,Y,Y,0,1,1,N,-,N,n,n,O,O,NA
r299,y59,cr_2,219,-1.2,15.5,NA,NA,regen,Hw,LL,S,1,16.6,NA,Y,Y,0,0,0,N,-,N,7,1,O,O,NA
r300,NA,cr_2,219,2.2,15.7,NA,NA,regen,Fd,LS,C,1,30.5,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r301,NA,cr_2,219,2.3,21.6,NA,NA,regen,Fd,LS,C,1,29.5,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r302,y42,cr_2,219,1.3,26.1,NA,NA,regen,Hw,LS,C,1,23.8,26.9,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r303,NA,cr_2,219,-1.9,26.8,NA,NA,regen,Fd,LS,C,1,22.9,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r304,NA,cr_2,221,0.1,1.8,NA,NA,regen,Hw,DS,-,2,5.1,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r305,y17,cr_2,221,-1.4,5.2,NA,NA,regen,Hw,LS,I,1,22.8,NA,Y,Y,2,1,0,Y,1,N,n,n,O,O,NA
r306,y62,cr_2,221,-2.3,7,NA,NA,regen,Hw,LS,C,1,29.5,26.6,Y,Y,2,1,1,Y,1,N,n,n,IB,O,NA
r307,y128,cr_2,221,0.6,8.7,NA,NA,regen,Hw,LL,S,1,21.5,NA,Y,Y,2,2,1,Y,3,Y,2,6,O,O,NA
r308,NA,cr_2,221,-1.7,13.8,NA,NA,regen,Hw,DS,-,2,4.6,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r309,y4000,cr_2,221,2.2,15.3,NA,NA,regen,Hw,LS,D,1,35.4,27.1,Y,N,1,0,0,Y,1,N,n,n,O,O,NA
r310,NA,cr_2,221,-0.3,19.2,NA,NA,regen,Fd,LS,C,1,31.3,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r311,NA,cr_2,221,0.9,21.7,NA,NA,regen,Hw,LL,S,1,4.2,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r312,y4,cr_2,221,-2.5,17.5,NA,NA,regen,Hw,LS,D,1,36.7,26.7,Y,Y,1,1,0,N,-,missing,n,n,IB,O,NA
r313,NA,cr_2,222,-2.4,1.3,NA,NA,regen,Hw,LS,S,1,5.9,NA,Y,N,1,0,0,N,-,N,n,n,O,O,NA
r314,y102,cr_2,222,0.6,2.4,NA,NA,regen,Hw,LS,I,1,13.9,NA,Y,Y,1,1,0,N,-,N,n,n,IB,O,NA
r315,NA,cr_2,222,-0.1,4.5,NA,NA,regen,Hw,LS,S,1,5.3,NA,Y,N,0,0,1,N,-,N,2,n,O,O,NA
r316,NA,cr_2,222,1.8,4.5,NA,NA,regen,Hw,LS,S,1,4.2,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r317,NA,cr_2,222,1.8,4.6,NA,NA,regen,Hw,LS,S,1,5.1,NA,N,-,NA,NA,NA,-,-,-,n,n,DS,O,NA
r318,NA,cr_2,222,0.6,4.8,NA,NA,regen,Hw,LS,S,1,4.8,NA,Y,Y,1,0,0,N,-,Y,n,n,O,O,NA
r319,NA,cr_2,222,-2.3,5.1,NA,NA,regen,Hw,DS,-,2,4.7,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r320,NA,cr_2,222,-1.7,5.4,NA,NA,regen,Hw,DS,-,2,4.6,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r321,y122,cr_2,222,1,5.9,NA,NA,regen,Hw,LS,S,1,7.3,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r322,NA,cr_2,222,1.8,6.9,NA,NA,regen,Hw,DS,-,3,5.9,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r323,NA,cr_2,222,2.1,7.4,NA,NA,regen,Hw,DS,-,3,5.1,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r324,y12,cr_2,222,-0.8,6.9,NA,NA,regen,Hw,LS,I,1,17.8,NA,Y,Y,1,1,0,N,-,N,n,n,O,O,NA
r325,y34,cr_2,222,1.3,9.8,NA,NA,regen,Hw,LS,C,1,30.2,23.8,Y,Y,1,1,0,Y,1,N,n,n,O,O,NA
r326,NA,cr_2,222,0.9,12.7,NA,NA,regen,Hw,SN,-,5,23.6,NA,U,-,NA,NA,NA,-,-,-,-,-,IB,O,NA
r327,y112,cr_2,222,1.4,15.7,NA,NA,regen,Hw,LS,C,1,23.9,24.9,Y,N,1,0,0,N,-,N,n,n,O,O,NA
r328,y18,cr_2,222,-0.7,23.5,NA,NA,regen,Hw,LS,D,1,33.8,29.7,N,-,NA,NA,NA,-,-,-,n,n,IB,DS,stem pustules
r329,y50,mk_2,103,2.4,0.4,NA,NA,regen,Hw,LS,S,2,6.1,NA,Y,Y,1,0,0,N,-,missing,n,n,O,O,NA
r330,y120,mk_2,103,-0.3,1,NA,NA,regen,Hw,LS,C,1,16.9,NA,Y,Y,1,1,1,N,-,Y,n,n,O,O,NA
r331,y119,mk_2,103,-1.5,0.7,NA,NA,regen,Hw,DS,-,missing,6.8,NA,Y,-,NA,NA,NA,-,-,-,-,-,U,O,NA
r332,y107,mk_2,103,-2.3,3.3,NA,NA,regen,Hw,LS,C,1,17.4,NA,Y,Y,1,1,1,Y,8,Y,n,n,O,O,NA
r333,y40,mk_2,103,1.5,2.9,NA,NA,regen,Hw,DS,-,missing,5,NA,Y,-,NA,NA,NA,-,-,-,-,-,U,O,NA
r334,y61,mk_2,103,1.5,5,NA,NA,regen,Hw,LS,C,1,16.2,NA,Y,Y,2,2,1,Y,1,Y,2,n,O,O,NA
r335,y126,mk_2,103,-0.7,4.3,NA,NA,regen,Hw,DS,-,missing,5.2,NA,N,-,NA,NA,NA,-,-,-,-,-,U,O,NA
r336,y22,mk_2,103,-0.5,5.1,NA,NA,regen,Hw,DS,-,missing,5.8,NA,Y,-,NA,NA,NA,-,-,-,-,-,U,O,NA
r337,y18,mk_2,103,-2.3,5,NA,NA,regen,Cw,LS,C,1,14.8,NA,-,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r338,y65,mk_2,103,-0.7,8.3,NA,NA,regen,Cw,LL,S,1,11.1,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r339,y3,mk_2,103,-1.6,9.7,NA,NA,regen,Cw,DS,-,missing,6,NA,-,-,NA,NA,NA,-,-,-,-,-,U,O,NA
r340,y7,mk_2,103,-0.3,10.7,NA,NA,regen,Hw,SN,-,missing,12.4,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r341,y103,mk_2,103,-0.4,10.7,NA,NA,regen,Hw,SN,-,missing,13.7,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r342,y30,mk_2,103,1.7,7.8,NA,NA,regen,Hw,SN,-,missing,4.8,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r343,y12,mk_2,103,1.6,8.3,NA,NA,regen,Hw,SN,-,missing,13.8,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r344,y67,mk_2,103,2,9.1,NA,NA,regen,Hw,SN,-,missing,8.1,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r345,y47,mk_2,103,2.1,10,NA,NA,regen,Hw,LS,C,1,16.8,NA,Y,Y,2,1,0,Y,1,Y,n,n,O,O,NA
r346,y111,mk_2,103,1.1,10.6,NA,NA,regen,Hw,SN,-,missing,7.7,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r347,y63,mk_2,103,-2.5,10.5,NA,NA,regen,Hw,SN,-,missing,7.7,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r348,y8,mk_2,103,-2.3,11.6,NA,NA,regen,Hw,DS,-,missing,9.2,NA,Y,-,NA,NA,NA,-,-,-,-,-,U,O,NA
r349,y13,mk_2,103,-1.4,12.4,NA,NA,regen,Hw,LS,I,1,11.4,NA,Y,Y,1,1,0,N,-,N,n,n,O,O,NA
r350,y10,mk_2,103,-2.4,13.8,NA,NA,regen,Hw,SN,-,missing,9.6,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
