SITE_IDENTIFIER,schedule,IP_UTM,IP_NRTH,IP_EAST,BC_ALBERS_X,BC_ALBERS_Y,Longitude,Latitude,TSA,TSA_DESC,TFL,FIZ,BEC_ZONE,BEC_SBZ,BEC_VAR,owner,SAMPLE_ESTABLISHMENT_TYPE,TOTAL_PERIOD,MGMT_UNIT,OWN_SCHED_DESCRIP,GRID_BASE,GRID_SIZE,SITE_STATUS_CODE
4000398,B,9,5608906,574067,861934.719218015,625492.96521758,-127.952812605206,50.6273194994197,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
4000399,B,9,5609006,574066,861937.893024107,625593.022296251,-127.95280676649,50.6282187838298,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
4000400,B,9,5609106,574064,861940.068079758,625693.121174398,-127.952815063696,50.6291181951581,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
4000401,B,9,5609206,574064,861944.24069622,625793.136729723,-127.952795087618,50.6300173522334,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
4000402,B,9,5609209,574238,862118.151741107,625788.880207335,-127.950334707488,50.6300221924818,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
4000403,B,9,5609109,574242,862117.974366524,625688.697853062,-127.950298184927,50.6291225266822,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
4000404,B,9,5609009,574244,862115.799475347,625588.599003306,-127.950289935748,50.6282231154675,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
4000426,N,9,5598930,610694,898102.958799198,613994.928730381,-127.438107272493,50.5318337531756,48,North Island TSA,TFL6,B,CWH,vm,1,60,PSP_G,23,TFL6_WesternForestProducts,Crown - Conservancy Area/Ecological Reserve/Protected Area/Provincial Park,,,A
4000427,B,9,5592377,606300,893442.949675309,607623.976265939,-127.501948827376,50.4737360392213,48,North Island TSA,TFL6,B,CWH,vm,2,72,PSP_G,28,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000428,B,9,5592570,606321,893471.913374579,607816.094802701,-127.501598130273,50.4754673461579,48,North Island TSA,TFL6,B,CWH,vm,2,72,PSP_G,28,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
