SITE_IDENTIFIER,CLSTR_ID,SAMPLE_SITE_NAME,VISIT_NUMBER,FIRST_MSMT,LAST_MSMT,MEAS_DT,MEAS_YR,PERIOD,NO_PLOTS,PROJ_AGE_1,PROJECTED_DATE,PROJ_AGE_ADJ,SAMP_TYP,SAMPLE_SITE_PURPOSE_TYPE_CODE,SAMPLE_ESTABLISHMENT_TYPE,DBH_LIMIT_TAG,SAMPLE_BREAK_POINT,SAMPLE_BREAK_POINT_TYPE,PSP_PLOT_DESIGN,DBH_LIMIT_COUNT,MAT_MAIN_FM,MAT_MAIN_LM,YSM_MAIN_FM,YSM_MAIN_LM,YSM_PILOT_FM,YSM_PILOT_LM
4000029,4000029-PSP6,01-001-504R,6,N,Y,1994-10-17,1994,5,1,21,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000030,4000030-PSP1,01-001-505R,1,Y,N,1967-08-22,1967,,1,21,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000030,4000030-PSP2,01-001-505R,2,N,N,1973-01-26,1972,5,1,21,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000030,4000030-PSP3,01-001-505R,3,N,N,1979-10-13,1979,7,1,21,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000030,4000030-PSP4,01-001-505R,4,N,N,1985-03-08,1984,5,1,21,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000030,4000030-PSP5,01-001-505R,5,N,N,1989-12-14,1989,5,1,21,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000030,4000030-PSP6,01-001-505R,6,N,Y,1994-10-17,1994,5,1,21,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000031,4000031-PSP1,01-001-507R,1,Y,N,1967-08-22,1967,,1,77,2022-12-31,22,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000031,4000031-PSP2,01-001-507R,2,N,N,1973-01-26,1972,5,1,77,2022-12-31,27,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000031,4000031-PSP3,01-001-507R,3,N,N,1979-10-09,1979,7,1,77,2022-12-31,34,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000031,4000031-PSP4,01-001-507R,4,N,N,1985-03-07,1984,5,1,77,2022-12-31,39,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000031,4000031-PSP5,01-001-507R,5,N,N,1989-12-01,1989,5,1,77,2022-12-31,44,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000031,4000031-PSP6,01-001-507R,6,N,Y,1993-02-12,1992,3,1,77,2022-12-31,47,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000044,4000044-PSP1,01-003A-006G,1,Y,N,1992-06-25,1992,,1,61,2022-12-31,31,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000044,4000044-PSP2,01-003A-006G,2,N,Y,2002-12-14,2002,10,1,61,2022-12-31,41,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000045,4000045-PSP1,01-003A-007G,1,Y,N,1992-06-24,1992,,1,61,2022-12-31,31,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000045,4000045-PSP2,01-003A-007G,2,N,N,2003-02-21,2002,10,1,61,2022-12-31,41,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000045,4000045-PSP3,01-003A-007G,3,N,Y,2019-06-11,2019,17,1,61,2022-12-31,58,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000049,4000049-PSP1,01-003A-505G,1,Y,N,2005-03-03,2004,,1,40,2022-12-31,22,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000049,4000049-PSP2,01-003A-505G,2,N,Y,2023-10-07,2023,19,1,40,2022-12-31,41,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000050,4000050-PSP1,01-003A-506G,1,Y,N,2005-03-07,2004,,1,3,2022-12-31,,F,PSP,PSP_G,2,2,D,,,N,N,N,N,N,N
4000050,4000050-PSP2,01-003A-506G,2,N,Y,2023-10-18,2023,19,1,3,2022-12-31,4,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000051,4000051-PSP1,01-003A-507G,1,Y,N,2005-03-07,2004,,1,3,2022-12-31,,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000051,4000051-PSP2,01-003A-507G,2,N,Y,2023-10-10,2023,19,1,3,2022-12-31,4,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000052,4000052-PSP1,01-003A-508G,1,Y,N,2005-03-02,2004,,1,27,2022-12-31,9,F,PSP,PSP_G,2,2,D,,,N,N,N,N,N,N
4000052,4000052-PSP2,01-003A-508G,2,N,Y,2022-08-28,2022,18,1,27,2022-12-31,27,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000053,4000053-PSP1,01-003A-509G,1,Y,N,2005-03-04,2004,,1,27,2022-12-31,9,F,PSP,PSP_G,2,2,D,,,N,N,N,N,N,N
4000053,4000053-PSP2,01-003A-509G,2,N,Y,2023-10-08,2023,19,1,27,2022-12-31,28,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000055,4000055-PSP1,01-003A-511G,1,Y,N,2005-03-06,2004,,1,3,2022-12-31,,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000055,4000055-PSP2,01-003A-511G,2,N,Y,2023-10-10,2023,19,1,3,2022-12-31,4,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000056,4000056-PSP1,01-003A-512G,1,Y,N,2005-03-06,2004,,1,3,2022-12-31,,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000056,4000056-PSP2,01-003A-512G,2,N,Y,2023-09-17,2023,19,1,3,2022-12-31,4,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000060,4000060-PSP1,01-003B-001G,1,Y,N,1992-01-24,1991,,1,71,2022-12-31,40,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000060,4000060-PSP2,01-003B-001G,2,N,N,2003-02-25,2002,11,1,71,2022-12-31,51,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000060,4000060-PSP3,01-003B-001G,3,N,Y,2019-06-20,2019,17,1,71,2022-12-31,68,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000061,4000061-PSP1,01-003B-002G,1,Y,N,1992-01-25,1991,,1,71,2022-12-31,40,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000061,4000061-PSP2,01-003B-002G,2,N,N,2005-02-28,2004,13,1,71,2022-12-31,53,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000061,4000061-PSP3,01-003B-002G,3,N,Y,2019-06-21,2019,15,1,71,2022-12-31,68,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000062,4000062-PSP1,01-003B-003G,1,Y,N,1994-06-21,1994,,1,25,2022-12-31,,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000062,4000062-PSP2,01-003B-003G,2,N,Y,2005-02-24,2004,10,1,25,2022-12-31,7,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000063,4000063-PSP1,01-003B-004G,1,Y,N,1994-06-24,1994,,1,25,2022-12-31,,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000063,4000063-PSP2,01-003B-004G,2,N,Y,2005-02-25,2004,10,1,25,2022-12-31,7,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000064,4000064-PSP1,01-004-502R,1,Y,N,1967-08-16,1967,,1,45,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000064,4000064-PSP2,01-004-502R,2,N,N,1971-03-22,1970,3,1,45,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000064,4000064-PSP3,01-004-502R,3,N,N,1973-10-23,1973,3,1,45,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000064,4000064-PSP4,01-004-502R,4,N,N,1977-10-18,1977,4,1,45,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000064,4000064-PSP5,01-004-502R,5,N,N,1982-11-16,1982,5,1,45,2022-12-31,5,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000064,4000064-PSP6,01-004-502R,6,N,N,1987-09-09,1987,5,1,45,2022-12-31,10,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000064,4000064-PSP7,01-004-502R,7,N,Y,1993-02-09,1992,5,1,45,2022-12-31,15,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000065,4000065-PSP1,01-004-504R,1,Y,N,1967-08-16,1967,,1,45,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000065,4000065-PSP2,01-004-504R,2,N,N,1971-03-22,1970,3,1,45,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000065,4000065-PSP3,01-004-504R,3,N,N,1973-10-23,1973,3,1,45,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000065,4000065-PSP4,01-004-504R,4,N,N,1977-10-18,1977,4,1,45,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000065,4000065-PSP5,01-004-504R,5,N,N,1982-11-16,1982,5,1,45,2022-12-31,5,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000065,4000065-PSP6,01-004-504R,6,N,N,1987-09-09,1987,5,1,45,2022-12-31,10,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000065,4000065-PSP7,01-004-504R,7,N,N,1993-02-09,1992,5,1,45,2022-12-31,15,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000065,4000065-PSP8,01-004-504R,8,N,Y,2019-06-27,2019,27,1,45,2022-12-31,42,F,PSP,PSP_R,2,4,D,,,N,N,N,N,N,N
4000066,4000066-PSP1,01-004-505R,1,Y,N,1982-03-17,1981,,1,55,2022-12-31,14,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000066,4000066-PSP2,01-004-505R,2,N,N,1987-05-11,1986,5,1,55,2022-12-31,19,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000066,4000066-PSP3,01-004-505R,3,N,N,1992-02-12,1991,5,1,55,2022-12-31,24,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000066,4000066-PSP4,01-004-505R,4,N,Y,1997-03-04,1996,5,1,55,2022-12-31,29,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000067,4000067-PSP1,01-004-506R,1,Y,N,1982-03-17,1981,,1,55,2022-12-31,14,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000067,4000067-PSP2,01-004-506R,2,N,N,1987-05-11,1986,5,1,55,2022-12-31,19,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000067,4000067-PSP3,01-004-506R,3,N,N,1992-02-12,1991,5,1,55,2022-12-31,24,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000067,4000067-PSP4,01-004-506R,4,N,Y,1997-03-04,1996,5,1,55,2022-12-31,29,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000068,4000068-PSP1,01-004-507R,1,Y,N,1982-03-17,1981,,1,55,2022-12-31,14,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000068,4000068-PSP2,01-004-507R,2,N,N,1987-05-11,1986,5,1,55,2022-12-31,19,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000068,4000068-PSP3,01-004-507R,3,N,N,1992-02-11,1991,5,1,55,2022-12-31,24,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000068,4000068-PSP4,01-004-507R,4,N,Y,1997-03-04,1996,5,1,55,2022-12-31,29,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000069,4000069-PSP1,01-004-508R,1,Y,N,1982-03-17,1981,,1,55,2022-12-31,14,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000069,4000069-PSP2,01-004-508R,2,N,N,1987-05-11,1986,5,1,55,2022-12-31,19,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000069,4000069-PSP3,01-004-508R,3,N,N,1992-02-11,1991,5,1,55,2022-12-31,24,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000069,4000069-PSP4,01-004-508R,4,N,Y,1997-03-04,1996,5,1,55,2022-12-31,29,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000315,4000315-PSP1,01-014D-013G,1,Y,N,1994-06-08,1994,,1,55,2022-12-31,27,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000315,4000315-PSP2,01-014D-013G,2,N,N,2005-02-27,2004,10,1,55,2022-12-31,37,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000315,4000315-PSP3,01-014D-013G,3,N,Y,2019-06-25,2019,15,1,55,2022-12-31,52,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000318,4000318-PSP1,01-014D-501R,1,Y,N,1967-08-17,1967,,1,34,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000318,4000318-PSP2,01-014D-501R,2,N,N,1971-03-22,1970,3,1,34,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000318,4000318-PSP3,01-014D-501R,3,N,N,1973-10-23,1973,3,1,34,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000318,4000318-PSP4,01-014D-501R,4,N,N,1977-10-18,1977,4,1,34,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000318,4000318-PSP5,01-014D-501R,5,N,N,1982-11-16,1982,5,1,34,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000318,4000318-PSP6,01-014D-501R,6,N,N,1987-09-10,1987,5,1,34,2022-12-31,,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000318,4000318-PSP7,01-014D-501R,7,N,Y,1993-02-10,1992,5,1,34,2022-12-31,4,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000319,4000319-PSP1,01-014D-503R,1,Y,N,1967-08-18,1967,,1,65,2022-12-31,10,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000319,4000319-PSP2,01-014D-503R,2,N,N,1971-03-22,1970,3,1,65,2022-12-31,13,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000319,4000319-PSP3,01-014D-503R,3,N,N,1973-10-25,1973,3,1,65,2022-12-31,16,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000319,4000319-PSP4,01-014D-503R,4,N,N,1977-10-19,1977,4,1,65,2022-12-31,20,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000319,4000319-PSP5,01-014D-503R,5,N,N,1982-11-17,1982,5,1,65,2022-12-31,25,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000319,4000319-PSP6,01-014D-503R,6,N,N,1987-09-10,1987,5,1,65,2022-12-31,30,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000319,4000319-PSP7,01-014D-503R,7,N,Y,1993-02-10,1992,5,1,65,2022-12-31,35,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000320,4000320-PSP1,01-014D-505R,1,Y,N,1981-02-03,1980,,1,55,2022-12-31,13,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000320,4000320-PSP2,01-014D-505R,2,N,N,1986-03-05,1985,5,1,55,2022-12-31,18,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000320,4000320-PSP3,01-014D-505R,3,N,Y,1991-03-05,1990,5,1,55,2022-12-31,23,F,PSP,PSP_R,4,4,D,,,N,N,N,N,N,N
4000332,4000332-PSP1,01-015A-501G,1,Y,N,1964-07-10,1964,,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000332,4000332-PSP2,01-015A-501G,2,N,Y,1974-06-15,1974,10,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000333,4000333-PSP1,01-015A-502G,1,Y,N,1964-07-10,1964,,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000333,4000333-PSP2,01-015A-502G,2,N,Y,1974-06-15,1974,10,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000334,4000334-PSP1,01-015A-503G,1,Y,N,1964-07-10,1964,,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000334,4000334-PSP2,01-015A-503G,2,N,Y,1974-06-22,1974,10,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000335,4000335-PSP1,01-015A-504G,1,Y,N,1964-07-13,1964,,1,75,2022-12-31,17,F,PSP,PSP_G,7.5,7.5,D,IMPERIAL,4,N,N,N,N,N,N
4000335,4000335-PSP2,01-015A-504G,2,N,N,1974-06-22,1974,10,1,75,2022-12-31,27,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000335,4000335-PSP3,01-015A-504G,3,N,N,1987-10-31,1987,13,1,75,2022-12-31,40,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000335,4000335-PSP4,01-015A-504G,4,N,N,2001-10-17,2001,14,1,75,2022-12-31,54,F,PSP,PSP_G,4,4,D,,,N,N,N,N,N,N
4000335,4000335-PSP5,01-015A-504G,5,N,Y,2022-08-28,2022,21,1,75,2022-12-31,75,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000336,4000336-PSP1,01-015A-505G,1,Y,N,1964-07-13,1964,,1,,,,F,PSP,PSP_G,7.5,7.5,D,IMPERIAL,4,N,N,N,N,N,N
4000336,4000336-PSP2,01-015A-505G,2,N,Y,1974-06-15,1974,10,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000337,4000337-PSP1,01-015A-506G,1,Y,N,1964-07-13,1964,,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000337,4000337-PSP2,01-015A-506G,2,N,Y,1974-06-15,1974,10,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000338,4000338-PSP1,01-015A-507G,1,Y,N,1964-07-14,1964,,1,,,,F,PSP,PSP_G,7.5,7.5,D,IMPERIAL,1.5,N,N,N,N,N,N
4000338,4000338-PSP2,01-015A-507G,2,N,Y,1974-07-06,1974,10,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000339,4000339-PSP1,01-015A-508G,1,Y,N,1964-07-14,1964,,1,75,2022-12-31,17,F,PSP,PSP_G,7.5,7.5,D,IMPERIAL,1.5,N,N,N,N,N,N
4000339,4000339-PSP2,01-015A-508G,2,N,N,1974-07-06,1974,10,1,75,2022-12-31,27,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000339,4000339-PSP3,01-015A-508G,3,N,N,1987-10-31,1987,13,1,75,2022-12-31,40,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000339,4000339-PSP4,01-015A-508G,4,N,N,2001-10-18,2001,14,1,75,2022-12-31,54,F,PSP,PSP_G,4,4,D,,,N,N,N,N,N,N
4000339,4000339-PSP5,01-015A-508G,5,N,Y,2019-06-23,2019,18,1,75,2022-12-31,72,F,PSP,PSP_G,2,4,D,,,N,N,N,N,N,N
4000340,4000340-PSP1,01-015A-509G,1,Y,N,1964-07-14,1964,,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000340,4000340-PSP2,01-015A-509G,2,N,Y,1974-06-26,1974,10,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000341,4000341-PSP1,01-015A-510G,1,Y,N,1964-07-15,1964,,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000341,4000341-PSP2,01-015A-510G,2,N,Y,1974-07-06,1974,10,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000342,4000342-PSP1,01-015A-511G,1,Y,N,1964-07-15,1964,,1,,,,F,PSP,PSP_G,7.5,7.5,D,IMPERIAL,1.5,N,N,N,N,N,N
4000342,4000342-PSP2,01-015A-511G,2,N,Y,1974-07-13,1974,10,1,,,,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000343,4000343-PSP1,01-015A-512G,1,Y,N,1964-07-15,1964,,1,75,2022-12-31,17,F,PSP,PSP_G,7.5,7.5,D,IMPERIAL,4,N,N,N,N,N,N
4000343,4000343-PSP2,01-015A-512G,2,N,N,1974-07-13,1974,10,1,75,2022-12-31,27,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
4000343,4000343-PSP3,01-015A-512G,3,N,N,1987-10-31,1987,13,1,75,2022-12-31,40,F,PSP,PSP_G,7.5,7.5,D,,,N,N,N,N,N,N
