ORIG_FID,Comment,site_id,pt_type,pt_id,Latitude,Longitude,Max_PDOP,Max_HDOP,Corr_Type,GPS_Date,Datafile,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,plot_x_utm,plot_y_utm
NA,te.102.mk1,mk_1,tran end,102,49.289029735,-122.585966157,7,3.2,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,247.824,1.6,1.1,0.759221,1248487.2543469837,480735.75070992793
NA,rf.1.mk1,mk_1,ref tree,1,49.289418988,-122.585765449,6.9000001,3,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,252.848,1.1,0.6,1.492497,1248499.7661427956,480779.6573204126
NA,rf.2.mk1,mk_1,ref tree,2,49.289419129,-122.585597283,141.3000031,99.9000015,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,253.881,0.1,0.2,3.960165,1248511.9955966421,480780.26329541375
NA,ed.2.mk2,mk_2,edge,2,49.312924151,-122.596286082,4.4000001,2.5999999,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,399.591,0.9,0.7,0.677491,1247609.0980454064,483351.6203809146
NA,ip.1.mk2,mk_2,infect perim,1,49.313095084,-122.596384525,7,3.5999999,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,389.634,0.5,0.4,1.341589,1247601.0292857457,483370.2482433654
NA,ip.2.mk2,mk_2,infect perim,2,49.313064125,-122.59626593,5.4000001,3.2,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,391.362,0,0,0.004915,1247609.815347861,483367.2268486944
NA,lf.1.mk2,mk_2,landscape feat,1,49.313061475,-122.596273019,4.4000001,2.5999999,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,390.107,0.1,0,0.016463,1247609.3141980655,483366.90792479913
NA,lf.1.mk2,mk_2,landscape feat,1,49.313015947,-122.596202624,4,2.4000001,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,395.747,0.8,0.6,0.712236,1247614.6743990942,483362.1009088369
NA,lf.1.mk2,mk_2,landscape feat,1,49.31299904,-122.596128858,3.9000001,2.3,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,396.837,1,0.8,0.97124,1247620.1267874022,483360.48238924047
NA,lf.1.mk2,mk_2,landscape feat,1,49.313033492,-122.596087391,4.1999998,2.5999999,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,388.804,1,0.7,0.923963,1247622.9570387646,483364.4513290093
NA,lf.1.mk2,mk_2,landscape feat,1,49.313142835,-122.596216243,4.6999998,2.2,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,394.174,1.1,0.9,1.702614,1247613.0067452644,483376.13681551674
NA,ip.3.mk2,mk_2,infect perim,3,49.313219531,-122.596139884,4.5999999,2.3,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,384.285,1,0.6,1.679182,1247618.1476799164,483384.91654145985
NA,re.1.mk2,mk_2,residual,1,49.313082497,-122.595991744,6.6999998,5.0999999,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,395.621,1.2,0.8,1.474678,1247629.64792388,483370.2250557856
NA,ip.4.mk2,mk_2,infect perim,4,49.313164642,-122.595981558,4.0999999,2.4000001,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,385.645,1.4,0.7,3.276433,1247629.9495993892,483379.3781169889
NA,ip.5.mk2,mk_2,infect perim,5,49.313165083,-122.595664628,5.4000001,2.8,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,380.312,0.8,0.6,1.2239,1247652.9849729158,483380.53573782
NA,ip.6.mk2,mk_2,infect perim,6,49.31312734,-122.595579088,6.0999999,2.7,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,381.449,0.3,0.2,2.261027,1247659.4045131924,483376.64582181914
NA,ip.7.mk2,mk_2,infect perim,7,49.313177855,-122.595395103,6,2.4000001,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,378.219,1.2,0.6,0.650158,1247672.508586523,483382.89625008224
NA,te.103.mk2,mk_2,tran end,103,49.31323269,-122.59572338,5.9000001,3,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,375.772,0.9,0.5,1.16837,1247648.353147475,483387.8340355199
NA,te.109.mk2,mk_2,tran end,109,49.313238647,-122.595878687,5.5999999,2.9000001,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,385.22,0.7,0.4,1.092613,1247637.032037292,483387.95192217943
NA,te.110.mk2,mk_2,tran end,110,49.313219496,-122.596118368,5.4000001,3.2,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,382.613,1,0.5,1.350481,1247619.7118693022,483384.9879164068
NA,ts.110.mk2,mk_2,tran start,110,49.312955607,-122.596091598,5.0999999,2.7,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,395.472,0.8,0.4,0.518472,1247623.0672120578,483355.79200936906
NA,sm.007.mk2,mk_2,stem map,7,49.312926258,-122.595984545,9.5,4.5999999,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,392.339,0.4,0.3,1.134922,1247631.005717733,483352.90897575184
NA,ts.109.mk2,mk_2,tran start,109,49.312965667,-122.595907683,5.3000002,3,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,391.462,0.6,0.5,0.735873,1247636.3823729064,483357.5519222213
NA,lf.2.mk2,mk_2,landscape feat,2,49.312990531,-122.595909679,4.6999998,2.5999999,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,385.845,0.5,0.3,1.004779,1247636.1044772768,483360.30464217416
NA,lf.2.mk2,mk_2,landscape feat,2,49.31296869,-122.595742472,10.8000002,5,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,385.611,1.4,0.8,2.007748,1247648.3755102258,483358.4653881037
NA,lf.2.mk2,mk_2,landscape feat,2,49.312979026,-122.595779174,4.4000001,2.7,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,390.228,1.5,1,1.764797,1247645.6524111226,483359.4842075415
NA,lf.2.mk2,mk_2,landscape feat,2,49.312968928,-122.595904171,4.0999999,2.3,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,392.824,0.4,0.4,0.655172,1247636.6202443743,483357.9261520466
NA,sm.008.mk2,mk_2,stem map,8,49.312893348,-122.595852175,7.4000001,3.5999999,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,385.374,0.1,0.1,2.766585,1247640.8035636442,483349.719274973
NA,ts.103.mk2,mk_2,tran start,103,49.313022026,-122.595737068,6.0999999,3.7,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,393.662,1.1,0.7,2.688099,1247648.483433974,483364.40415518126
NA,sm.009.mk2,mk_2,stem map,9,49.312907339,-122.595635243,5.5,3.5999999,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,392.747,1.1,0.7,1.259965,1247656.4977663865,483352.03104795003
NA,ed.1.mk2,mk_2,edge,1,49.31291479,-122.595526648,5.1999998,3.5999999,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,384.621,0.6,0.5,1.621162,1247664.35180719,483353.2379604905
NA,sm.006.mk2,mk_2,stem map,6,49.312893916,-122.596094016,2.9000001,1.9,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,394.771,0.3,0.2,0.634866,1247623.2209362572,483348.93635096075
NA,ed.2.mk3,mk_3,edge,2,49.275814123,-122.566959124,5.5999999,2.4000001,Postprocessed Code,7/24/2023 0:00:00,mistletoe5.cor,202.087,0.9,0.5,1.591515,1249940.7664612245,479335.9238479468
NA,ts.121.mk3,mk_3,tran start,121,49.275701189,-122.566988232,5.6999998,2.8,Postprocessed Code,7/24/2023 0:00:00,mistletoe5.cor,199.442,0.7,0.4,0.892916,1249939.257227108,479323.2872705547
NA,sm.013.mk3,mk_3,stem map,13,49.275727501,-122.566862147,4,2,L1L2  Postprocessed Carrier Float,7/24/2023 0:00:00,mistletoe5.cor,195.859,0.2,0.1,1.397974,1249948.2878756095,479326.6526341343
NA,sm.012.mk3,mk_3,stem map,12,49.275600901,-122.566897027,4.8000002,2.4000001,L1L2  Postprocessed Carrier Float,7/24/2023 0:00:00,mistletoe5.cor,198.497,0.3,0.2,0.86861,1249946.4323662007,479312.4789770284
NA,ts.120.mk3,mk_3,tran start,120,49.275576626,-122.567067447,6,5,Postprocessed Code,7/24/2023 0:00:00,mistletoe5.cor,195.397,0.3,0.3,1.004288,1249934.1654464537,479309.1831625271
