tree_id_new,tree_id_old,site_id,plot_id,spp,dist_m,az_deg,dec_deg,status,dbh,height_m,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,broom_stem,crown_class,dam_agent_1,dam_agent_2,path_ind_1,path_ind_2,crown_cond,outside_10,assessed_by,notes
m42,w66,cr_1,25,Hw,3.9,129.1,,LS,31.8,,Y,Y,2,2,1,Y,4,Y,C,,,1,-,1,,,
m43,w115,cr_1,25,Hw,3,170.9,,LS,16.5,,Y,Y,2,1,0,Y,1,Y,S,,,1,-,1,,,
m44,y101,mi_1,21,Hw,6.7,155.7,,LS,45.4,,Y,N,2,2,1,Y,4,N,C,AX,,-,-,1,,,"DBH @ 1.2m, 1.3m inaccessible"
m45,y100,mi_1,21,Hw,6,161.5,,LS,60.1,41.5,Y,N,2,2,1,Y,4,N,C,,,-,-,2,,,"DBH @ 1.2m, 1.3m inaccessible"
m46,y103,mi_1,21,Hw,4.8,133.1,,LS,12.5,,Y,Y,0,1,0,N,-,N,S,NX,,-,-,1,,,
m47,y105,mi_1,21,Ep,5.7,197.2,,DS,35.6,,-,-,-,-,-,-,-,-,-,,,5,6,-,,,
m48,y106,mi_1,21,Hw,4.8,212.8,,LS,14.1,,N,N,0,0,0,N,-,-,S,,,-,-,1,,,j shaped
m49,y107,mi_1,21,Hw,5.2,230,,LS,13.1,,N,N,0,0,0,N,-,-,S,,,1,-,2,,,
m50,y108,mi_1,21,Hw,4.5,238.4,,LS,57.5,40.6,Y,Y,1,1,0,N,-,-,C,,,-,-,1,,,
m51,y110,mi_1,21,Hw,2.8,291.1,,LS,23.8,,Y,Y,0,1,0,N,-,-,I,,,1,-,2,,,
m52,y115,mi_1,21,Hw,3.7,329.8,,LS,42.9,,Y,Y,2,0,1,Y,1,N,C,,,5,-,1,,,Leaning ~ 60 deg
m53,y116,mi_1,21,Cw,5.3,333.4,,LS,29.9,,-,-,-,-,-,-,-,-,I,,,-,-,1,,,
m54,y114,mi_1,21,Hw,4.4,23.4,,LS,39.1,,Y,Y,2,1,0,Y,1,N,C,,,-,-,1,,,
m55,y113,mi_1,21,Hw,4.7,66.5,,LS,60.4,,Y,Y,2,2,0,Y,4,N,C,AX,,1,-,1,,,forked with m56
m56,y112,mi_1,21,Hw,3.7,71.1,,LS,64.8,39.3,Y,Y,2,1,0,Y,4,N,C,,,1,-,1,,,forked with m55
m57,y111,mi_1,21,Hw,2.7,95.5,,LS,20.4,,N,N,0,0,0,N,-,-,S,,,-,-,2,,,
m58,w42,mi_1,22,Hw,6.4,179.4,,LS,14.6,,Y,Y,0,1,0,Y,8,N,S,,,-,-,1,,,
m59,w41,mi_1,22,Hw,8.5,195.3,,LS,20.8,,Y,Y,2,1,1,N,-,-,S,,,1,-,2,,,
m60,w45,mi_1,22,Hw,6.8,215.6,,DS,18.6,,N,-,-,-,-,-,-,-,S,DRA,,1,-,-,,,
m61,w44,mi_1,22,Hw,7.7,223,,LS,57,35.9,Y,Y,2,1,1,Y,1,N,C,,,-,-,1,,,
m62,w2,mi_1,22,Hw,4.3,294.4,,LS,20.3,,Y,Y,2,2,1,Y,1,N,I,,,-,-,1,,,
m63,w1,mi_1,22,Hw,2.3,306.2,,DS,17,,Y,-,-,-,-,-,-,-,-,DRA,,1,-,-,,,
m64,w34,mi_1,22,Hw,5.5,26.3,,LS,42.6,32.2,Y,Y,2,2,1,Y,7,N,I,,,1,-,1,,,
m65,w40,mi_1,22,Hw,3.5,38.8,,LS,19.7,,Y,Y,2,2,1,N,-,-,S,,,-,-,2,,,
m66,w38,mi_1,22,Hw,4,71.5,,DS,15.1,,Y,-,-,-,-,-,-,-,-,DRA,,-,-,-,,,
m67,w72,mi_1,22,Hw,6.2,58,,DS,11.3,,Y,-,-,-,-,-,-,-,-,DRA,,-,-,-,,,
m68,w71,mi_1,22,Hw,7,59,,LS,12.7,,Y,Y,0,0,0,N,-,-,S,NX,,-,-,1,,,
m69,w68,mi_1,22,Hw,7.9,63.1,,LS,13.5,,Y,Y,2,0,0,N,-,-,S,,,1,-,2,,,
m70,w3,mi_1,22,Hw,3,105,,LS,70,36.8,Y,Y,2,2,1,Y,7,N,D,AX,,-,-,1,,,
m71,y63,mi_1,23,Hw,7.5,251.1,,LS,90.3,40.9,Y,N,2,2,1,Y,4,N,D,AX,,-,-,1,,,
m72,y64,mi_1,23,Hw,3.1,141.4,,LS,40.2,27.2,Y,Y,2,1,1,Y,4,Y,C,,,1,-,1,,,
m73,y71,mi_1,23,Hw,2.5,187.8,,LS,21.9,,Y,Y,2,2,2,Y,7,N,I,NX,,1,-,2,,,
m74,y68,mi_1,23,Hw,4,206.2,,SN,9.4,,Y,-,-,-,-,-,-,-,-,,,5,6,-,,,
m75,y60,mi_1,23,Hw,5.3,223.2,,LS,17.9,,Y,N,1,0,1,N,-,-,S,,,1,4,2,,,
m76,y61,mi_1,23,Hw,4.9,256.9,,LS,13.3,,Y,N,0,1,0,N,-,-,S,,,-,-,2,,,
m77,y62,mi_1,23,Hw,3.2,298.2,,SN,10.4,,N,-,-,-,-,-,-,-,-,,,-,-,-,,,
m78,y70,mi_1,23,Hw,4.5,314.4,,LS,86.9,42.8,Y,Y,2,2,1,Y,7,N,D,,,-,-,2,,,
m79,y67,mi_1,23,Hw,5.9,336.7,,LS,18,,Y,Y,2,2,1,Y,4,Y,S,,,-,-,2,,,
m80,y36,mi_1,23,Hw,1.6,0.8,,LS,28.6,,Y,Y,2,1,0,Y,2,N,I,,,-,-,1,,,
m81,y58,mi_1,23,Hw,6.6,64.5,,DS,12,,Y,Y,-,-,-,-,-,-,-,DRA,,-,-,-,,,
m82,y69,mi_1,23,Hw,4.5,85.7,,LS,15.4,,Y,Y,1,1,1,N,-,-,I,,,-,-,1,,,
m83,w115,mi_1,24,Hw,5.5,258.2,,LS,34.6,,Y,Y,2,1,0,Y,4,N,I,,,-,-,1,,,forked with m84; leaning
m84,w150,mi_1,24,Hw,4.9,264.6,,LS,76.2,41,Y,Y,2,2,1,Y,4,N,D,NX,,-,-,1,,,forked with m83; leaning
m85,w116,mi_1,24,Hw,5.4,321.5,,LS,9.9,,N,-,-,-,-,-,-,-,S,,,-,-,1,,,forked top
m86,w120,mi_1,24,Hw,5.6,28,,DS,10.3,,Y,-,-,-,-,-,-,-,-,DRA,,-,-,-,,,
m87,w121,mi_1,24,Hw,5.1,39.2,,DS,9.8,,Y,-,-,-,-,-,-,-,-,,,-,-,-,,,
m88,w123,mi_1,24,Hw,6,63.3,,LS,98.1,45.1,Y,Y,2,2,1,Y,4,N,D,AX,,-,-,1,,,
m89,w124,mi_1,24,Hw,5.4,70.5,,LS,30.3,,Y,Y,1,1,0,N,-,-,S,,,-,-,1,,,
m90,w125,mi_1,24,Hw,2.9,148,,LS,52.4,32.4,Y,Y,2,1,0,Y,4,N,C,,,-,-,1,,,
m91,w122,mi_1,24,Hw,3.7,41.1,,LS,13.9,,Y,Y,1,1,1,N,-,-,S,,,-,-,1,,,
